pubkey,votekey,dz_fee_lamports
BCS95L5JHBWHvWkcEJBEF3BH5QHxKcPeaTgoYmHLvfFh,Hx4UJCvf8amGeuW9fPFfTckRoznDHxPSYiU9HuUSZKLT,103845450
BFMufPp4wW276nFzB7FVHgtY8FTahzn53kxxJaNpPGu6,7K8DVxtNJGnMtUY1CQJT5jcs8sFGSZTDiG7kowvFpECh,164744473
BM2vE2QqkB9fGtC34WPtM8drbgta13SBkhRq6dRG9J4J,8r4Fu6M8brgnL456RJfwxk8kN4iw1LgczfuXeuG1g4px,24458802
BNtHBLo1L2vAG7PBQ6mJvWz7GqVPxBnioXsY2Gjtubrg,ErvMUdtMC7AX55zKdYSyy4DnWNCrTsWn5GwprSG7ocnx,209234485
BPKAfGkkzF5u1QRjjB1nWYYbPMUCMPJe1xZPmwEMNMCT,9Gko8QZBbV5SrEvHKtQHcMrGGSfgFP3KJUozEGifu25x,308219019
BR1aTt4ZZUCwWJDkSYf1hqkYJjo7Mb7Ar8iVTkeSwUB8,AbacusTT3yhEFEKkQKjGStDhKDnvSFGpg9EqBwz8FnDF,372203381
BSGMRbK97DcgLe4u4kfNQnmTVZGVnwdtKQBJqWRBTZxU,BSGMtRHy9qvsPbUKtT8yqd7nNqn2urTcSMVUgzj9zJVd,118823036
BSMe78Jk1BfeJDdHQj1aXVjrT2aMAYidyNAGQsTshrk,T6bpj6H6fr9GyKe73DcNjPbGeSk8twDsiNcU4srshrk,56038138
BULKzVM41WAyQZfL34vxqdsYwEYH9mJAJyzRS4xraf8b,BULKEEKf9Hjy4nwCthjzheEk4joH23LLXttAHjqEZmB2,560917046
BeRtYZnaaZLFwYQRPaZcxuuHBmyFBSGP32C8Ls5xnrZP,BeRtYZ7SVQozwTby6ajQzrHtKYkn4qoKyRfb3NDAedtA,34772917
BeaCHioStqCEFDFxKwAEzyrUPYxqnBPhJ98gDKeEiTPb,BeachiopjxQxL7CaHNSZsynApiZCKx9QFVtcWNz3jDBo,764263422
BiU1DNow77wGwSXW1bLmkcQe2cuySpkbz7xtbitD9Fmk,BiUSTKzDM57pkf52SqxqckEk4ap7d25y2GB4GLXxdgj7,139000707
BoNKmNCGvoHS4CkKvYRnF21iEpUP827pZjhFGdA4t5as,BoNKvwirX136zCjcnayEM4W82vn13RKkjm1Sy3UPBdim,391020045
Bs19Z9SokV1s46jutN9tqqaCgYf1GsVyyytVfkzwn9qK,5frYQSynysBe1akCVK9tNBJ5j8jgBgUsjAXAgqHxvykJ,299665602
BuoZ7q6faiJNTN24r7Kcj8dp96axs5XPEKXmWGsh2pDE,GFWtwTkSkgc9RcAUkUxs7LyZ124DsBtcSnWGWwbrA113,172400608
By8MseMKtZQQaQjMHJiyetmc5AC8RZZv8C2ss33ktrHt,H1kyn75BFTXr8QRmToRRvuEEmYan5n6M5APyfhMLau3b,155630243
C1ocKDYMCm2ooWptMMnpd5VEB2Nx4UMJgRuYofysyzcA,AS3nKBQfKs8fJ8ncyHrdvo4FDT6S8HMRhD75JjCcyr1t,1999814295
C4bgengueVA9cRcprjutgu9XgvgoaaFnCqvpZaPy27xx,7DCb5VuNx9XFqsaEgERyb5mwwRunDNtLRudCEoqhcz6N,83832624
